id,query,company,doc_group,gold,n_gold,answer,answer_hit,answer_hit_exact,graded_hit,gold_kind,gradeable,required_n,required_matched,required_coverage,required_missing,bonus_n,bonus_matched,n_required,n_covered,n_acknowledged,n_silent,field_coverage,silent_omission_rate,citation_recall,citation_precision,silent_fields,n_answer_numbers,gold_position,evidence_hit,citation_hit,refusal,label,numbers_grounded,has_citation,validation_passed,ungrounded,stopped_at,hcx_calls,retries,thinking,answer_mode,task,error,elapsed_sec
S001,삼성전자의 [기재정정]주요사항보고서(자기주식취득결정)에 기재된 순자산액은 얼마인가?,,?,"224,787,773,988,054",1,"순자산액: 254,330,082,981,146  근거: report_id(major_20260318001062)",0,0,0,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,0.0,0.0,,1,0,1,1,0,답변실패,1,1,1,,answered,1,0,none,closed,lookup,,11.0
S002,현대자동차의 주요사항보고서(자기주식취득결정)에 기재된 순자산액은 얼마인가?,,?,"60,787,169,065,155",1,"순자산액은 69,223,018,818,275원과 60,787,169,065,155원으로 두 가지 값이 있습니다.   질문에 시점이 명시되지 않았으므로 해당되는 공시를 모두 제시하겠습니다. - 2026년 1월 29일 공시: 69,223,018,818,275원 - 2024년 11월 27일 공시: 60,787,169,065,155원  근거: report_id(major_20260129000336), report_id(major_20241127000199)",1,0,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,0.5,,2,2,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,15.62
S003,POSCO홀딩스의 주요사항보고서(자기주식취득결정)에 기재된 자기주식 취득금액 한도(1-2-3-4-5+6)은 얼마인가?,,?,"44,798,302,492,788",1,"44,798,302,492,788원  근거: report_id(major_20240712000097)",1,1,1,value,1,0,0,,,0,0,1,0,0,1,0.0,1.0,1.0,1.0,자기주식취득금액한도,1,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,5.29
S004,현대모비스의 주요사항보고서(자기주식취득결정)에 기재된 자기주식 취득금액 한도(1-2-3-4-5+6)은 얼마인가?,,?,"23,823,475,847,161",1,"현대모비스의 주요사항보고서에 기재된 자기주식 취득금액 한도에 대해 다음과 같이 정리할 수 있습니다:  1. 2023년 7월 26일: 23,926,907,424,811원   2. 2024년 2월 16일: 23,823,475,847,161원   3. 2025년 2월 13일: 25,237,245,842,508원   4. 2025년 7월 25일: 26,908,231,862,701원    위의 값들은 각 공시일에 해당하는 자기주식 취득금액 한도를 나타냅니다.   근거: report_id(major_20230726000317), report_id(major_20240216001385), report_id(major_20250213001638), report_id(major_20250725000051)",1,0,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,0.25,,4,2,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,18.29
S005,SK하이닉스의 신규시설투자등에 기재된 투자금액(원)은 얼마인가?,,?,"5,296,200,000,000",1,"SK하이닉스의 신규시설투자등에 기재된 투자금액은 다음과 같습니다:  1. 2024년 7월 26일 공시: 9,411,500,000,000원 2. 2024년 4월 24일 공시: 5,296,200,000,000원 3. 2026년 2월 25일 공시: 21,608,100,000,000원  또한, 2024년 12월 20일 공시에서는 미국 인디애나주에 신규 어드밴스드 패키징 공장을 건설하기 위해 5.9조원을 투자한다고 밝혔습니다.   근거: report_id(exchange_20260225801974), report_id(exchange_20240726800615), report_id(exchange_20240424800596), report_id(exchange_20241220800005)",1,0,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,0.25,,4,2,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,14.99
S006,HMM의 주요사항보고서(자기주식취득결정)에 기재된 자본금의 액은 얼마인가?,,?,"4,405,197,480,000",1,"자본금의 액: 4,405,197,480,000 원   근거: report_id(major_20250814003240)",1,1,1,value,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,1,1,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,12.83
S007,"삼성전자와 한미반도체 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"삼성전자 (삼성전자 22,764,764,160,000 vs 한미반도체 149,919,000,000)",1,"삼성전자의 단일판매·공급계약 중 최대 계약금액은 22,764,764,160,000원이고, 한미반도체의 단일판매·공급계약 중 최대 계약금액은 149,919,000,000원입니다. 따라서 삼성전자의 최대 계약금액이 더 큽니다.  근거: report_id(exchange_20250731800028), report_id(exchange_20240607800056)",0,0,1,compare,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,compare,,17.07
S008,"LG에너지솔루션과 삼성SDI 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"LG에너지솔루션 (LG에너지솔루션 9,603,075,000,000 vs 삼성SDI 437,429,850,083)",1,"▶ LG에너지솔루션 계약금액 최대값: 9,603,075,000,000 [report_id: exchange_20251217800853] ▶ 삼성SDI 계약금액 최대값: 437,429,850,083 [report_id: exchange_20250314800002]  두 기업의 단일판매·공급계약 중 최대 계약금액은 LG에너지솔루션이 9,603,075,000,000원으로, 삼성SDI의 최대 계약금액인 437,429,850,083원보다 큽니다. 따라서 더 큰 쪽은 LG에너지솔루션입니다.  근거: report_id(exchange_20251217800853), report_id(exchange_20250314800002)",0,0,1,compare,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,compare,,25.72
S009,"현대로템과 LIG디펜스앤에어로스페이스 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"현대로템 (현대로템 8,981,406,673,148 vs LIG디펜스앤에어로스페이스 4,339,821,003,649)",1,"현대로템의 단일판매·공급계약 중 최대 계약금액은 8,981,406,673,148원이며, LIG디펜스앤에어로스페이스의 단일판매·공급계약 중 최대 계약금액은 4,339,821,003,649원입니다. 따라서 더 큰 계약금액을 가진 기업은 현대로템입니다.  근거:  - 현대로템 최대 계약금액: 8,981,406,673,148원 [report_id: exchange_20250804800039] - LIG디펜스앤에어로스페이스 최대 계약금액: 4,339,821,003,649원 [report_id: exchange_20240207800065]",0,0,1,compare,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,0,0,0,정답,1,1,1,,answered,1,0,none,closed,compare,,11.11
S010,"HD현대중공업과 삼성중공업 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"HD현대중공업 (HD현대중공업 5,251,100,000,000 vs 삼성중공업 4,571,600,000,000)",1,"HD현대중공업의 단일판매·공급계약 중 최대 계약금액은 5,251,100,000,000원이고, 삼성중공업의 단일판매·공급계약 중 최대 계약금액은 4,571,600,000,000원입니다. 따라서 최대 계약금액이 더 큰 기업은 HD현대중공업입니다.  근거: report_id(exchange_20231026800085), report_id(exchange_20240402800735)",0,0,1,compare,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,0,0,0,정답,1,1,1,,answered,1,0,none,closed,compare,,8.68
S011,"두산에너빌리티와 한전기술 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"두산에너빌리티 (두산에너빌리티 4,928,968,079,043 vs 한전기술 1,250,850,298,678)",1,"두산에너빌리티와 한전기술 각각의 단일판매·공급계약 중 최대 계약금액은 다음과 같습니다:  - 두산에너빌리티의 최대 계약금액: 4,928,968,079,043원 - 한전기술의 최대 계약금액: 1,250,850,298,678원  따라서, 최대 계약금액이 더 큰 기업은 두산에너빌리티입니다.  근거:  - 두산에너빌리티 최대 계약금액: [report_id: exchange_20251216801147] - 한전기술 최대 계약금액: [report_id: exchange_20251212801320]",0,0,1,compare,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,compare,,21.41
S012,"현대건설과 삼성E&A 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"현대건설 (현대건설 4,390,170,544,000 vs 삼성E&A 2,897,903,803,942)",1,"▶ 현대건설 계약금액 최대값: 4,390,170,544,000 ▶ 삼성E&A 계약금액 최대값: 2,897,903,803,942  현대건설의 최대 계약금액은 4,390,170,544,000원이고, 삼성E&A의 최대 계약금액은 2,897,903,803,942원입니다. 따라서 최대 계약금액이 더 큰 기업은 현대건설입니다.  근거: FACT",0,0,1,compare,1,0,0,,,0,0,1,1,0,0,1.0,0.0,0.0,,,2,0,0,0,0,정답,1,0,0,,answered,1,0,none,closed,compare,,10.18
S013,"현대글로비스와 HMM 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"현대글로비스 (현대글로비스 3,365,500,000,000 vs HMM 1,282,363,356,560)",1,"현대글로비스의 단일판매·공급계약 중 최대 계약금액은 3,365,500,000,000원이고, HMM의 단일판매·공급계약 중 최대 계약금액은 1,282,363,356,560원입니다. 따라서 더 큰 계약금액을 가진 기업은 현대글로비스입니다.  근거:  - 현대글로비스 최대 계약금액: 3,365,500,000,000원 [report_id: exchange_20241231800103] - HMM 최대 계약금액: 1,282,363,356,560원 [report_id: exchange_20231027800429]",0,0,1,compare,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,compare,,24.78
S014,"삼성바이오로직스와 셀트리온 중, 각각 공시한 단일판매·공급계약 가운데 최대 계약금액은 얼마이며 더 큰 쪽은 어느 기업인가?",,?,"삼성바이오로직스 (삼성바이오로직스 2,074,694,843,000 vs 셀트리온 423,600,000,000)",1,"삼성바이오로직스의 최대 계약금액은 2,074,694,843,000원이고, 셀트리온의 최대 계약금액은 423,600,000,000원입니다. 따라서 더 큰 계약을 맺은 기업은 삼성바이오로직스입니다.  근거: exchange_20250114800022, exchange_20230925800006",0,0,1,compare,1,0,0,,,0,0,1,1,0,0,1.0,0.0,1.0,1.0,,2,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,compare,,9.49
S015,LG에너지솔루션이 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재하는가? 존재한다면 어떤 계약인가?,,?,예 (해지 공시 존재),1,"LG에너지솔루션이 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재합니다. 해지된 계약은 다음과 같습니다:  1. **Ford Motor Company와의 전기차 배터리 공급계약**    - 해지일자: 2025년 12월 17일    - 해지금액: 9,603,075,000,000원    - 계약상대: Ford Motor Company    - 계약기간: 2027년 1월 1일부터 2032년 12월 31일까지    - 해지 주요사유: 거래 상대방의 계약 해지 통보  2. **Freudenberg Battery Power Systems, LLC와의 전기차 배터리 공급계약**    - 해지일자: 2025년 12월 26일    - 해지금액: 3,921,711,000,000원    - 계약상대: Freudenberg Battery Power Systems, LLC    - 계약기간: 2024년 4월 1일부터 2031년 12월 31일까지    - 해지 주요사유: 계약상대의 배터리 사업 철수로 상호 합의에 의한 계약 해지  근거:  - [EVIDENCE 2](https://dart.fss.or.kr/dsaf001/main.do?cn=20251217800800) - [EV",0,0,1,yes_no,1,0,0,,,0,0,0,0,0,0,,,0.0,,,2,0,1,1,0,정답,0,0,0,001,answered,1,0,none,closed,lookup,,20.49
S016,한미약품이 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재하는가? 존재한다면 어떤 계약인가?,,?,예 (해지 공시 존재),1,"한미약품이 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재합니다. 해지된 계약은 ""(주)제넥신과의 코로나19 백신 위탁생산 계약해지 합의""입니다.   해당 계약의 상세 정보는 다음과 같습니다: - 해지금액: 23,419,586,850원 - 최근매출액: 1,075,853,605,008원 - 매출액대비: 2.18% - 계약상대: 주식회사 제넥신 - 계약기간: 2021-05-18부터 2023-02-27까지 - 해지 주요 사유: 계약상대방의 코로나19 백신(GX-19N) 개발 중단 결정 - 해지일자: 2023-02-27  근거: exchange_20230227800485::main::C1",0,0,1,yes_no,1,0,0,,,0,0,0,0,0,0,,,1.0,1.0,,3,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,19.08
S017,삼성중공업이 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재하는가? 존재한다면 어떤 계약인가?,,?,예 (해지 공시 존재),1,"삼성중공업이 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재합니다. 다음은 해지된 계약들의 상세 정보입니다:  1. **블록 및 기자재 공급계약**    - 해지금액: 2,807,200,000,000원    - 계약상대: 유럽 지역 선주    - 해지 주요 사유: 선주사의 위법한 계약해지    - 해지 일자: 2025-06-18    - 관련 공시: [exchange_20250618800388](https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250618800388)  2. **블록, 기자재 및 설계 공급계약**    - 해지금액: 2,045,300,000,000원    - 계약상대: 유라시아 지역 선주    - 해지 주요 사유: 선주사의 위법한 계약해지    - 해지 일자: 2025-06-18    - 관련 공시: [exchange_20250618800387](https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250618800387)  3. **원유운반선 1척 공급계약**    - 해지금액: 114,800,000,000원    - 계약상대: 오세아니아 지역 선주    - 해지 주요 ",0,0,1,yes_no,1,0,0,,,0,0,0,0,0,0,,,1.0,1.0,,7,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,14.22
S018,한전기술이 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재하는가? 존재한다면 어떤 계약인가?,,?,예 (해지 공시 존재),1,"네, 한전기술이 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재합니다.   해지된 계약의 세부 내용은 다음과 같습니다:  - **해지계약명**: 논산 바이오매스 발전사업 건설공사 - **해지금액(원)**: 81,895,000,000 - **최근매출액(원)**: 431,722,625,741 - **매출액대비(%)**: 18.97% - **계약상대**: 논산바이오에너지(주) - **해지 주요사유**: 발주처의 PF(Project Financing) 계약 불이행 - **해지일자**: 2024-08-26  근거: exchange_20240826800108::main::C1",0,0,1,yes_no,1,0,0,,,0,0,0,0,0,0,,,1.0,1.0,,3,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,28.34
S019,한국항공우주가 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재하는가? 존재한다면 어떤 계약인가?,,?,예 (해지 공시 존재),1,"네, 한국항공우주는 체결한 단일판매·공급계약 중 하나가 해지되었습니다. 해지된 계약은 다음과 같습니다:  - **해지계약명**: 차세대 중형 민항기 주익 개발 및 공급 계약 - **해지금액(원)**: 4,004,923,296,000 - **최근매출액(원)**: 2,562,283,675,152 - **매출액대비(%)**: 156.30% - **계약상대**: Embraer - **계약기간**: 2022-12-19 ~ 2046-12-31 - **해지 주요사유**: 계약상대방의 계약이행 불가에 따른 계약해지 - **해지일자**: 2023-09-26  이 정보는 한국항공우주의 단일판매·공급계약 해지 공시(2023.09.26)에 근거합니다.  근거: exchange_20230926800443::main::C1",0,0,1,yes_no,1,0,0,,,0,0,0,0,0,0,,,1.0,1.0,,4,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,11.38
S020,삼성전자가 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재하는가?,,?,아니오 (해지 공시 없음),1,"해당 질문에 대한 답변은 다음과 같습니다.  아니오, 삼성전자가 체결한 단일판매·공급계약 중 이후 해지된 계약은 존재하지 않습니다.  근거: report_id(exchange_20250731800028)",0,0,1,yes_no,1,0,0,,,0,0,0,0,0,0,,,0.5,1.0,,0,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,20.11
S021,한미반도체가 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재하는가?,,?,아니오 (해지 공시 없음),1,"아니오. 한미반도체의 공시 내용을 전수 확인한 결과, 단일판매 공급계약 해지에 관한 공시는 발견되지 않았습니다. 따라서 한미반도체가 체결한 단일판매 공급계약 중 이후 해지된 계약은 존재하지 않습니다.  근거: report_id(exchange_20230901800003), report_id(exchange_20230530800118), report_id(exchange_20240411800031), report_id(exchange_20250528800084), report_id(exchange_20250114800153), report_id(exchange_20240322800090), report_id(exchange_20240202800122), report_id(exchange_20231004800078), report_id(exchange_20240607800056), report_id(exchange_20230612800469), report_id(exchange_20230612800470), report_id(exchange_20250516800319), report_id(exchange_20260114800028), report_id(excha",0,0,1,yes_no,1,0,0,,,0,0,0,0,0,0,,,1.0,0.1429,,0,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,18.26
S022,현대오토에버가 체결한 단일판매·공급계약 중 이후 해지된 계약이 존재하는가?,,?,아니오 (해지 공시 없음),1,"아니오, 현대오토에버가 체결한 단일판매·공급계약 중 이후 해지된 계약은 존재하지 않습니다.  근거: report_id(exchange_20250731800497), report_id(exchange_20241203800532), report_id(exchange_20251128800125), report_id(exchange_20231115800491)",0,0,1,yes_no,1,0,0,,,0,0,0,0,0,0,,,1.0,0.5,,0,0,1,1,0,정답,1,1,1,,answered,1,0,none,closed,lookup,,14.08
S023,삼성E&A의 단일판매ㆍ공급계약체결 공시가 정정된 내역이 있는가? 있다면 최초 공시와 최종 정정본 사이에 무엇이 달라졌는지 설명해줘.,,?,,0,"예, 삼성E&A의 단일판매ㆍ공급계약체결 공시가 정정된 내역이 있습니다. 아래는 몇 가지 예시입니다:  1. **BAPCO Modernization Program(BMP)** 계약    - 최초 공시일: 2022-10-07    - 정정 사유: 계약금액, 종료일 변경    - 최초 계약금액: 1,534,730,639,454원 → 정정 후 계약금액: 1,719,659,644,816원    - 최초 종료일: 2024-06-25 → 정정 후 종료일: 2025-10-26    - 최근 공시일: 2025-10-24  2. **기흥 신규 연구라인 (구 용역동 부지)UT동/그린동 골조공사** 계약    - 최초 공시일: 2023-09-18    - 정정 사유: 계약기간 변경    - 최초 종료일: 2025-09-30 → 정정 후 종료일: (협의 중으로 미정)    - 최근 공시일: 2024-12-05     3. **Crude Flexibility Project** 계약    - 최초 공시일: 2022-08-11    - 정정 사유: 계약 종료일 변경    - 최초 종료일: 2023-10-27 → 정정 후 종료일: 2024-03-30    - 최근 공시일: 2022-08-",0,0,0,required,1,3,1,0.3333,"1,770,780,000,000 / 삼성바이오로직스",0,0,11,0,0,11,0.0,1.0,0.0,0.0,계약(수주)일자 / 계약금액 / 계약상대 / 대규모법인여부 / 매출액대비 / 시작일 / 종료일 / 체결계약명 / 최근매출액 / 판매공급계약구분 / 판매공급지역,2,0,1,0,0,답변실패,1,1,0,,answered,1,0,none,mixed,correction_diff,,10.64
S024,현대건설의 단일판매ㆍ공급계약체결 공시가 정정된 내역이 있는가? 있다면 최초 공시와 최종 정정본 사이에 무엇이 달라졌는지 설명해줘.,,?,,0,"정정 내역이 있습니다. 아래는 현대건설의 단일판매ㆍ공급계약체결 공시가 정정된 사례들입니다:  1. **대조제1구역 주택재개발정비사업**    - 최초 공시일: 2022-07-29    - 정정 공시일: 2025-04-24    - 정정 사유: 계약 금액 및 기간 변경    - 계약 금액 변화: 580,653,479,709원에서 837,286,000,000원으로 변경됨    - 매출액 대비 비율 변화: 3.21%에서 4.63%로 변경됨    - 계약 기간 변화: 2022-10-17부터 2026-10-31까지로 설정됨  2. **광명제11R구역 주택재개발정비사업**    - 최초 공시일: 2021-06-01    - 정정 공시일: 2025-04-14    - 정정 사유: 변경계약 체결(공사금액, 공사기간)    - 계약 금액 변화: 497,052,750,159원에서 920,797,500,000원으로 변경됨    - 매출액 대비 비율 변화: 2.93%에서 5.43%로 변경됨    - 계약 기간 변화: 실착공일 이후 46개월로 설정됨  3. **사우디 아미랄 (Amiral) 프로젝트 PKG #1,4**    - 최초 공시일: 2023-06-13    - 정정 공시일",0,0,0,required,1,2,0,0.0,"3,090,076,756,644 / SATORP",0,0,11,2,0,9,0.1818,0.8182,0.0667,0.1667,계약(수주)일자 / 계약상대 / 대규모법인여부 / 시작일 / 종료일 / 체결계약명 / 최근매출액 / 판매공급계약구분 / 판매공급지역,23,0,1,1,0,답변실패,1,1,0,,answered,1,0,none,mixed,correction_diff,,19.29
S025,두산로보틱스의 주요사항보고서 공시가 정정된 내역이 있는가? 있다면 최초 공시와 최종 정정본 사이에 무엇이 달라졌는지 설명해줘.,,?,,0,"정정 내역은 다음과 같습니다:  1. 첫 번째 정정 (2024년 7월 15일):    - 정정 항목: 향후 회사구조개편에 관한 계획    - 정정 사유: 합병 계획 추가 기재    - 정정 전: 주1 (분할합병 및 포괄적 주식교환을 통해 완전모회사가 되는 두산로보틱스 주식회사 및 완전자회사가 되는 두산밥캣 주식회사는 각자 현재의 기존 사업을 계속 영위하면서 경영효율성 증대 및 주주가치 제고에 힘쓰는 것은 물론이고, 그 이후로도 양사간의 기능적·유기적 통합 및 이를 통한 시너지 극대화를 달성하기 위하여 합병 등을 포함한 추가적인 구조재편 등의 다양한 방안을 검토할 예정입니다. 다만, 주요사항보고서 제출일 현재 금번 분할합병 및 포괄적 주식교환이 완료된 이후 회사구조 개편에 관하여 구체적으로 결정된 사항은 없으며, 향후 이에 관한 결정 또는 이사회 결의가 있는 경우 관련 공시규정에 따라 공시할 계획입니다.)    - 정정 후: 주2 (향후 본건 분할합병 및 포괄적 주식교환 완료 후 두산로보틱스(주)와 두산밥캣(주)를 신속히 합병할 예정입니다. 해당 합병을 통해서 협동로봇 사업부문과 건설기계 사업부문 통합을 최종적으로 완성할 수 있고, 사업 시너지 및 경영 효율화",0,0,0,required,1,3,0,0.0,"64,400,000,000 / 합의해제 / D20 Capital",0,0,0,0,0,0,,,0.1538,1.0,,0,0,1,1,0,답변실패,1,1,0,,answered,1,0,none,mixed,correction_diff,,16.58
S026,한화에어로스페이스의 주요사항보고서 공시가 정정된 내역이 있는가? 있다면 최초 공시와 최종 정정본 사이에 무엇이 달라졌는지 설명해줘.,,?,,0,"정정 내역이 있습니다. 한화에어로스페이스의 주요사항보고서(유상증자결정) 공시 중 일부가 정정되었습니다. 아래는 정정된 내용에 대한 설명입니다:  ### 정정된 내용 요약 1. **공정거래위원회 신고대상 여부**    - **정정 전**: 미해당    - **정정 후**: 해당        *정정 사유*: 특수관계인의 유상증자 참여 결정에 따른 정정  2. **신주 발행가액**    - **정정 전**: 확정발행가 보통주식 (원) 684,000, 예정발행가 보통주식 (원) -    - **정정 후**: 확정발행가 보통주식 (원) 684,000, 예정발행가 보통주식 (원) -        *정정 사유*: 최종 발행가액 확정  3. **신주배정기준일**    - **정정 전**: 2025년 05월 23일 예정    - **정정 후**: 2025년 05월 23일        *정정 사유*: 기재 정정  4. **기타 투자판단에 참고할 사항**    - **정정 전**: 증권신고서 및 예비투자설명서는 2025년 05월 21일 제출 예정    - **정정 후**: 증권신고서 및 투자설명서는 2025년 06월 27일 제출 예정        *정정 사유*: 최종 발행가액 ",0,0,1,required,1,2,2,1.0,,0,0,0,0,0,0,,,0.0,,,1,0,1,1,0,정답,1,0,0,,answered,1,0,none,mixed,correction_diff,,11.27
S027,삼성전자의 2024년 사업보고서와 2026년 사업보고서를 비교했을 때 핵심 사업과 주요 재무지표가 어떻게 변화했는지 설명해줘.,,?,,0,"### 핵심 사업 변화 #### TV 산업 - **2023년**: 시장 수요는 전년과 동등 수준인 2.1억 대로 전망됨. - **2025년**: 시장 수요는 2.1억 대로 동일하나, 초대형 TV 중심 성장세가 두드러짐. 삼성전자는 Neo QLED 8K, Neo QLED 4K, OLED 등 고급 라인업을 강화함.  #### 모바일 산업 - **2023년**: 스마트폰 시장의 비중은 전체의 88%, 피처폰은 12%임. - **2025년**: 스마트폰 시장은 2024년 대비 약간 증가한 12.5억 대로 전망되나, 태블릿 시장은 축소될 것으로 예측됨. 삼성전자는 AI 기능 개선 및 폴더블 시장 확대에 집중함.  ### 주요 재무지표 변화 #### 부채 관련 지표 - **2024년 리스부채**: 1,171,751백만 원 - **2025년 리스부채**: 965,266백만 원 - **2026년 리스부채**: 821,551백만 원   → 리스부채가 점차 감소하는 추세임을 알 수 있음.  #### 확정급여부채 - **2023년 기초 순확정급여부채**: 14,010,308백만 원 - **2025년 기초 순확정급여부채**: 14,658,185백만 원   → 순확정급여부채가 증가",0,0,0,required,1,4,0,0.0,"258,935,494 / 333,605,938 / 6,566,976 / 43,601,051",0,0,0,0,0,0,,,1.0,1.0,,10,0,1,1,0,답변실패,0,1,0,32070 / 33792,answered,1,0,none,open,compare,,16.01
